#deck:Fantastico! - 01 - Primo Incontro
"primo/a";"erste/r/s"
"perche?";"warum?"
"studiate inf studiare";"ihr lernt; Sie lernen (pl)"
"I'ltaliano";"Italienisch (Sprache)"
"al corso d'italiano";"im Italienischkurs"
"Ilcorso";"Kurs"
"studia inf studiare";"Sie lernen (sg)"
"studio inf studiare";"ich lerne"
"per";"hier: um .….zu"
"andare"";"gehen; fahren"
"in vacanza";"in den Urlaub"
"la vacanza";"Urlaub"
"studiare";"hier: studieren"
"in Italla";"in/nach Italien"
"parlare";"sprechen"
"con";"mit"
"l'amico/a plamici/<br>amiche";"Freund/in"
"Itallano/a";"italienisch"
"lavorare";"arbeiten"
"visitare";"besuchen, besichtigen"
"parente pl parenti";"Verwandte(r)"
"per lavoro";"aus beruflichen Grunden"
"il lavoro";"Arbeit"
"per passatempo";"als Hobby"
"il passatempo";"Hobby"
"per amore";"aus Liebesgrunden"
"l'amore m";"Liebe"
"a il nome";"Name"
"ilmotivo";"Grund"
"b presentare";"vorstellen"
"il risultato";"Ergebnis"
"a Di dov'e?";"Woher kommen Sie?"
"il concorso di cucina";"Kochwettbewerb"
"il concorso";"Wettbewerb"
"la cucina";"hier: das Kochen"
"b confrontare";"vergleichen"
"c di dove?";"woher?"
"Di dove sel?";"Woher kommst du?"
"Itallano/a";"hier: Italiener/in"
"svizzero/a";"schweizerisch; hier:<br>Schweizer/in"
"tedesco/a pl-chi/-che";"deutsch:hier: Deutsche/r"
"austrlaco/a pl-ci/-che";"Osterreichisch; hier: Oster-<br>reicher/in"
"inglese";"englisch; hier: Englander<br>in"
"olandese";"hollandisch: hier: Hollan<br>der/in"
"ma";"aber"
"abitare";"wohnen"
"Napoll";"Neapel"
"d Berlino";"Berlin"
"Londra";"London"
"Berna";"Bern"
"la frase";"Satz"
"plù lungo/a";"langste"
"lungo/a pl-ghi/-ghe";"lang"
"vi presento..";"ich stelle euch/ lhnen<br>vor"
"la presentazlone<br>pl presentazioni";"Vorstellung"
"Il numero plnymer";"Zahl"
"fino a";"bis"
"le parole in coda pl";"Worterschlange"
"signorl pl";"hier: Herr und Frau"
"";"oder"
"mettete in ordine";"ordnen Sie (zu)"
"ill verbo plverbi";"Verb"
"formate delle frasi";"bilden Sie Satze"
"la Germania";"Deutschland"
"l'inglese m";"Englisch (Sprache)"
"la mediazione";"Mediation"
"alutate inf aiutare";"helfen Sie"
"glusto/a";"richtig"
"ll tedesco";"Deutsch (Sprache)"
"I francese";"Franzosisch (Sprgche)"
"si presenta inf<br>presentarsi";"(er/sie) stellt sich vor"
"le tagliatellepl";"Tagliatelle"
"il suono pl suoni";"Laut"
"l'autovalutazione f";"Selbsteinschatzung"
